Area,Construction,Room,Warehouse,Parking,Elevator,Address,Price
96,1395,2,True,True,True,۱ ساعت پیش در تهران، وردآورد,۴٬۳۰۰٬۰۰۰٬۰۰۰ تومان
215,1401,3,True,True,True,۱ ساعت پیش در تهران، اختیاریه,۳۱٬۰۰۰٬۰۰۰٬۰۰۰ تومان
295,1401,3,True,True,True,۱ ساعت پیش در تهران، زعفرانیه,۷۲٬۲۷۵٬۰۰۰٬۰۰۰ تومان
54,1384,1,False,True,False,۱ ساعت پیش در تهران، شهر زیبا,۵٬۱۰۰٬۰۰۰٬۰۰۰ تومان
190,1398,3,True,True,True,۱ ساعت پیش در تهران، نیاوران,۳۴٬۲۰۰٬۰۰۰٬۰۰۰ تومان
162,1383,2,True,True,True,۱ ساعت پیش در تهران، ولنجک,۲۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان
98,1401,2,True,True,True,۱ ساعت پیش در تهران، دریاچه شهدای خلیج فارس,۱٬۸۰۰٬۰۰۰٬۰۰۰ تومان
125,1399,3,True,True,True,۱ ساعت پیش در تهران، جنت‌آباد جنوبی,۱۳٬۳۰۰٬۰۰۰٬۰۰۰ تومان
73,1377,1,False,False,False,۱ ساعت پیش در تهران، پیروزی,۳٬۳۰۰٬۰۰۰٬۰۰۰ تومان
115,1396,2,True,True,True,۱ ساعت پیش در تهران، سازمان برنامه,۱۱٬۹۰۰٬۰۰۰٬۰۰۰ تومان
112,1401,2,True,True,True,۱ ساعت پیش در تهران، تهران‌سر,۸٬۱۲۰٬۰۰۰٬۰۰۰ تومان
550,1390,4,True,True,True,۱ ساعت پیش در تهران، زعفرانیه,۱۱۹٬۰۰۰٬۰۰۰٬۰۰۰ تومان
130,1401,3,True,True,True,۱ ساعت پیش در تهران، عبدل‌آباد، خیابان سبلان (بلوار شکوفه),۶٬۲۵۰٬۰۰۰٬۰۰۰ تومان
75,1386,2,True,True,True,۱ ساعت پیش در تهران، پونک، خیابان عدل جنوبی (ب. همت),۷٬۵۰۰٬۰۰۰٬۰۰۰ تومان
118,1385,2,True,True,True,۱ ساعت پیش در تهران، پونک,۱۱٬۵۰۰٬۰۰۰٬۰۰۰ تومان
65,1396,2,True,True,True,۱ ساعت پیش در تهران، اندیشه (شهر زیبا),۲٬۱۸۰٬۰۰۰٬۰۰۰ تومان
76,1395,2,False,True,True,۱ ساعت پیش در تهران، اندیشه (شهر زیبا),۲٬۲۰۰٬۰۰۰٬۰۰۰ تومان
